DailyStats,Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
2020-01-01 00:00:00,25.504255,34.063679,8.258338,8.025678,0.001020,28.058611
2020-01-01 00:05:00,26.015648,34.092976,8.291532,8.159899,0.001020,28.011196
2020-01-01 00:10:00,25.131823,34.069637,8.406609,8.210269,0.001020,27.988192
2020-01-01 00:15:00,25.765203,34.034435,8.309349,8.381549,0.001020,27.996872
2020-01-01 00:20:00,25.729753,34.120960,8.209879,8.001881,0.001020,27.683928
2020-01-01 00:25:00,26.443178,34.010910,8.394457,8.140398,0.001020,27.967110
2020-01-01 00:30:00,25.722101,33.933426,8.246242,8.179183,0.001020,27.380669
2020-01-01 00:35:00,25.586023,34.064323,8.316474,8.443966,0.001020,26.894056
2020-01-01 00:40:00,25.553375,34.123306,8.236211,8.193374,0.001020,26.599823
2020-01-01 00:45:00,25.618904,33.928806,8.307261,8.423312,0.001020,26.483759
2020-01-01 00:50:00,25.589457,34.184101,8.301901,8.152091,0.001020,27.063744
2020-01-01 00:55:00,25.712788,34.084785,8.219874,7.943651,0.001020,26.383116
2020-01-01 01:00:00,25.634945,34.076893,8.264063,7.958853,0.001020,26.402914
2020-01-01 01:05:00,25.442146,34.181526,8.266482,8.036233,0.001020,26.793293
2020-01-01 01:10:00,25.786545,34.131172,8.255047,7.727504,0.001020,27.103956
2020-01-01 01:15:00,25.778053,34.145241,8.313668,7.908946,0.001020,26.122608
2020-01-01 01:20:00,25.715469,34.029980,8.214326,8.069330,0.001020,26.459190
2020-01-01 01:25:00,25.473524,34.148407,8.197023,7.946602,0.001020,25.833742
2020-01-01 01:30:00,25.426348,34.030476,8.317289,7.778826,0.001020,25.818647
2020-01-01 01:35:00,25.501143,34.065693,8.237270,7.721003,0.001020,25.971581
2020-01-01 01:40:00,25.311754,34.036037,8.219264,7.988754,0.001020,25.591467
2020-01-01 01:45:00,25.423538,34.081692,8.258785,8.030658,0.001020,24.988838
2020-01-01 01:50:00,25.810663,34.126652,8.253134,7.842381,0.001020,26.160648
2020-01-01 01:55:00,25.022224,34.166348,8.369779,7.686742,0.001020,25.569195
2020-01-01 02:00:00,25.402494,34.191307,8.314342,7.808876,0.001020,25.753679
2020-01-01 02:05:00,25.699266,34.225414,8.248254,7.381548,0.001020,25.610811
2020-01-01 02:10:00,25.796202,33.969494,8.369855,7.525655,0.001020,24.884880
2020-01-01 02:15:00,25.372038,33.955971,8.290049,7.654521,0.001020,24.723286
2020-01-01 02:20:00,25.849369,34.062553,8.319212,7.844441,0.001020,25.007677
2020-01-01 02:25:00,25.508051,34.225536,8.276510,7.671985,0.001020,23.840187
2020-01-01 02:30:00,25.854097,34.285221,8.330704,7.865729,0.001020,24.665554
2020-01-01 02:35:00,25.873220,34.299545,8.372341,7.459859,0.001020,24.418802
2020-01-01 02:40:00,25.534227,34.543499,8.231042,7.354618,0.001020,24.376101
2020-01-01 02:45:00,25.618784,34.617958,8.249118,7.819981,0.001020,24.031528
2020-01-01 02:50:00,25.512957,34.826759,8.327380,7.048808,0.001020,24.499283
2020-01-01 02:55:00,25.646713,34.902466,8.267849,7.588193,0.001020,24.290253
2020-01-01 03:00:00,25.598536,35.040035,8.255137,7.367455,0.001020,24.519381
2020-01-01 03:05:00,25.474682,35.306835,8.251589,7.639128,0.001020,24.273584
2020-01-01 03:10:00,25.350885,35.136799,8.261394,7.533453,0.001020,24.216578
2020-01-01 03:15:00,25.292076,34.983074,8.331202,7.369733,0.001020,24.070642
2020-01-01 03:20:00,26.188044,35.258293,8.286306,7.327856,0.001020,23.653179
2020-01-01 03:25:00,25.481033,34.937691,8.301509,7.663044,0.001020,23.939560
2020-01-01 03:30:00,25.523157,34.976734,8.338468,7.487370,0.001020,23.394835
2020-01-01 03:35:00,26.041590,34.978466,8.281093,7.245010,0.001020,23.049589
2020-01-01 03:40:00,25.505659,35.104561,8.312747,7.609229,0.001020,23.995167
2020-01-01 03:45:00,25.264963,35.057159,8.190143,7.645888,0.001020,23.173111
2020-01-01 03:50:00,26.366022,34.979427,8.267731,7.239590,0.001020,23.731863
2020-01-01 03:55:00,25.885658,34.990871,8.247764,7.136266,0.001020,23.118177
2020-01-01 04:00:00,25.536749,35.186508,8.227907,6.784724,0.001020,22.762104
2020-01-01 04:05:00,25.739765,34.975536,8.271537,7.342682,0.001020,23.626911
2020-01-01 04:10:00,25.357121,35.193638,8.294921,7.180996,0.001020,22.919390
2020-01-01 04:15:00,25.706221,35.122471,8.268826,6.876156,0.001020,24.088730
2020-01-01 04:20:00,25.024033,34.950184,8.289062,6.876072,0.001020,22.993168
2020-01-01 04:25:00,25.486387,35.076591,8.313063,7.347419,0.001020,22.710514
2020-01-01 04:30:00,25.742933,34.955219,8.241705,7.372559,0.001020,23.024870
2020-01-01 04:35:00,25.393433,35.092613,8.264078,7.381064,0.001020,23.617964
2020-01-01 04:40:00,25.788233,35.081894,8.351759,7.145081,0.001020,23.195276
2020-01-01 04:45:00,25.874168,35.175266,8.292503,7.092410,0.001020,22.932121
2020-01-01 04:50:00,26.253633,35.013676,8.194319,7.215677,0.001020,23.981153
2020-01-01 04:55:00,25.965555,35.192944,8.291408,7.382366,0.001020,23.248070
2020-01-01 05:00:00,25.418467,35.074966,8.269730,7.366768,0.001020,23.568758
2020-01-01 05:05:00,25.351797,35.096260,8.248423,6.924215,0.001020,22.846914
2020-01-01 05:10:00,25.691603,35.026447,8.264132,7.099497,0.001020,23.157221
2020-01-01 05:15:00,26.234097,35.112835,8.285284,6.830349,0.001020,23.514820
2020-01-01 05:20:00,25.505482,34.998417,8.240312,6.980709,0.001020,23.300758
2020-01-01 05:25:00,26.083296,34.942535,8.233883,7.003725,0.001020,23.978054
2020-01-01 05:30:00,25.457615,35.064857,8.320144,6.896078,0.001020,23.979954
2020-01-01 05:35:00,26.610413,34.984161,8.276291,6.951313,0.001020,22.960840
2020-01-01 05:40:00,25.685326,35.044537,8.218802,7.017780,0.001020,22.809418
2020-01-01 05:45:00,26.210466,35.101238,8.233737,7.118132,0.001020,22.857870
2020-01-01 05:50:00,26.071375,35.229267,8.263601,6.981639,0.001020,22.609058
2020-01-01 05:55:00,25.428173,35.154053,8.193575,6.693078,0.001020,22.860096
2020-01-01 06:00:00,25.565393,35.118435,8.198884,7.128893,0.001020,22.834669
2020-01-01 06:05:00,26.307634,35.154819,8.202627,7.290344,0.001020,23.137568
2020-01-01 06:10:00,26.085623,0.000000,8.244531,7.147380,0.001020,23.098034
2020-01-01 06:15:00,25.643278,34.981243,8.207973,7.027825,0.001020,23.072454
2020-01-01 06:20:00,25.886690,35.371841,8.203186,6.883772,0.001020,23.229973
2020-01-01 06:25:00,25.935230,35.215042,8.272595,6.990097,0.001020,22.807474
2020-01-01 06:30:00,25.894577,35.098343,8.225835,7.204377,0.001020,23.266115
2020-01-01 06:35:00,25.518915,35.334846,8.251172,6.950539,0.001020,23.111757
