锘?========== 日间水下缺氧提醒 ==========
日期,凌晨DO均值(mg/L),预警等级,处理建议
2020-01-20,3.8962,亚缺氧预警,建议开启底部增氧机！
2020-01-24,3.3260,亚缺氧预警,建议开启底部增氧机！
2020-01-25,3.8820,亚缺氧预警,建议开启底部增氧机！
2020-02-10,3.7057,亚缺氧预警,建议开启底部增氧机！
2020-02-12,3.8278,亚缺氧预警,建议开启底部增氧机！
2020-02-13,3.9522,亚缺氧预警,建议开启底部增氧机！
2020-02-14,3.9785,亚缺氧预警,建议开启底部增氧机！
2020-02-15,3.8025,亚缺氧预警,建议开启底部增氧机！
2020-02-21,3.3999,亚缺氧预警,建议开启底部增氧机！
2020-02-22,1.4868,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-02-23,1.5940,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-02-24,2.8536,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-02-25,1.8582,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-02-26,3.0721,亚缺氧预警,建议开启底部增氧机！
2020-02-27,3.1539,亚缺氧预警,建议开启底部增氧机！
2020-02-28,1.8658,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-02-29,2.2860,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-01,3.8519,亚缺氧预警,建议开启底部增氧机！
2020-03-02,3.9435,亚缺氧预警,建议开启底部增氧机！
2020-03-03,3.1471,亚缺氧预警,建议开启底部增氧机！
2020-03-04,1.7079,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-05,1.2399,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-06,2.5066,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-07,3.7918,亚缺氧预警,建议开启底部增氧机！
2020-03-09,3.4337,亚缺氧预警,建议开启底部增氧机！
2020-03-10,2.3920,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-11,2.8965,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-12,2.4927,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-13,2.1119,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-14,3.3403,亚缺氧预警,建议开启底部增氧机！
2020-03-15,2.5781,严重缺氧警告,需立即投放颗粒氧并减少投喂！
2020-03-16,3.2264,亚缺氧预警,建议开启底部增氧机！
2020-03-17,3.2383,亚缺氧预警,建议开启底部增氧机！
